game_id,experiment,language,rep,seed,persona_set,persona_seats,memory_mode,opponent_profile,framing,risk_framing,show_computed_totals,n_players,endowment,contribution_options,target,risk_probability,n_rounds_is_known,max_rounds,played_rounds,agents_communicate,group_contributions,pot_cumulative,group_total,target_reached,catastrophe,mean_payoff,n_parse_failures,agent1_name,agent1_llm,agent1_personality,agent1_knows_opponent_with_prob,agent1_strategies,agent1_scores,agent1_messages,agent1_payoff,agent1_parse_failures,agent2_name,agent2_llm,agent2_personality,agent2_knows_opponent_with_prob,agent2_strategies,agent2_scores,agent2_messages,agent2_payoff,agent2_parse_failures,agent3_name,agent3_llm,agent3_personality,agent3_knows_opponent_with_prob,agent3_strategies,agent3_scores,agent3_messages,agent3_payoff,agent3_parse_failures,agent4_name,agent4_llm,agent4_personality,agent4_knows_opponent_with_prob,agent4_strategies,agent4_scores,agent4_messages,agent4_payoff,agent4_parse_failures,agent5_name,agent5_llm,agent5_personality,agent5_knows_opponent_with_prob,agent5_strategies,agent5_scores,agent5_messages,agent5_payoff,agent5_parse_failures,agent6_name,agent6_llm,agent6_personality,agent6_knows_opponent_with_prob,agent6_strategies,agent6_scores,agent6_messages,agent6_payoff,agent6_parse_failures
crsd_milinski_p070_risk_seats-LCCCCC-2720b542__openai-gpt-5.6-luna__en__rep0,exp_bestresponse_cond,en,0,12345,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,[2],120.0,0.7,True,10,10,False,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[12, 24, 36, 48, 60, 72, 84, 96, 108, 120]",120.0,1,0,20.0,0,Player_1,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_2,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_3,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_4,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_5,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_6,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0
crsd_milinski_p070_risk_seats-LCCCCC-2720b542__openai-gpt-5.6-luna__en__rep1,exp_bestresponse_cond,en,1,12346,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,[2],120.0,0.7,True,10,10,False,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[12, 24, 36, 48, 60, 72, 84, 96, 108, 120]",120.0,1,0,20.0,0,Player_1,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_2,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_3,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_4,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_5,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_6,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0
crsd_milinski_p070_risk_seats-LCCCCC-2720b542__openai-gpt-5.6-luna__en__rep2,exp_bestresponse_cond,en,2,12347,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,[2],120.0,0.7,True,10,10,False,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[12, 24, 36, 48, 60, 72, 84, 96, 108, 120]",120.0,1,0,20.0,0,Player_1,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_2,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_3,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_4,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_5,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_6,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0
crsd_milinski_p070_risk_seats-LCCCCC-2720b542__openai-gpt-5.6-luna__en__rep3,exp_bestresponse_cond,en,3,12348,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,[2],120.0,0.7,True,10,10,False,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[12, 24, 36, 48, 60, 72, 84, 96, 108, 120]",120.0,1,0,20.0,0,Player_1,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_2,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_3,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_4,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_5,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_6,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0
crsd_milinski_p070_risk_seats-LCCCCC-2720b542__openai-gpt-5.6-luna__en__rep4,exp_bestresponse_cond,en,4,12349,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,[2],120.0,0.7,True,10,10,False,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[12, 24, 36, 48, 60, 72, 84, 96, 108, 120]",120.0,1,0,20.0,0,Player_1,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_2,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_3,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_4,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_5,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_6,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0
crsd_milinski_p070_risk_seats-LCCCCC-2720b542__openai-gpt-5.6-luna__en__rep5,exp_bestresponse_cond,en,5,12350,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,"[0, 2]",120.0,0.7,True,10,10,False,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 10]","[12, 24, 36, 48, 60, 72, 84, 96, 108, 118]",118.0,0,1,0.0,0,Player_1,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 22]",[],0.0,0,Player_2,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],0.0,0,Player_3,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],0.0,0,Player_4,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],0.0,0,Player_5,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],0.0,0,Player_6,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],0.0,0
crsd_milinski_p070_risk_seats-LCCCCC-2720b542__openai-gpt-5.6-luna__en__rep6,exp_bestresponse_cond,en,6,12351,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,[2],120.0,0.7,True,10,10,False,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[12, 24, 36, 48, 60, 72, 84, 96, 108, 120]",120.0,1,0,20.0,0,Player_1,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_2,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_3,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_4,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_5,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_6,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0
crsd_milinski_p070_risk_seats-LCCCCC-2720b542__openai-gpt-5.6-luna__en__rep7,exp_bestresponse_cond,en,7,12352,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,[2],120.0,0.7,True,10,10,False,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[12, 24, 36, 48, 60, 72, 84, 96, 108, 120]",120.0,1,0,20.0,0,Player_1,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_2,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_3,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_4,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_5,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_6,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0
crsd_milinski_p070_risk_seats-LCCCCC-2720b542__openai-gpt-5.6-luna__en__rep8,exp_bestresponse_cond,en,8,12353,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,[2],120.0,0.7,True,10,10,False,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[12, 24, 36, 48, 60, 72, 84, 96, 108, 120]",120.0,1,0,20.0,0,Player_1,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_2,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_3,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_4,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_5,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_6,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0
crsd_milinski_p070_risk_seats-LCCCCC-2720b542__openai-gpt-5.6-luna__en__rep9,exp_bestresponse_cond,en,9,12354,personas_default,NNNNNN,full_history,,0,lottery,0,6,40.0,[2],120.0,0.7,True,10,10,False,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[12, 24, 36, 48, 60, 72, 84, 96, 108, 120]",120.0,1,0,20.0,0,Player_1,openai-gpt-5.6-luna,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_2,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_3,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_4,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_5,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0,Player_6,scripted:conditional_cooperator,neutral,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38, 36, 34, 32, 30, 28, 26, 24, 22, 20]",[],20.0,0
